epoch,RMSE,loss,val_RMSE,val_loss
0,0.984542683735,0.972686927957,0.915065671592,0.839056266932
1,0.935010012324,0.875321453542,0.904751566228,0.820263815981
2,0.924228033324,0.855375000705,0.902315717351,0.815794591838
3,0.919130627884,0.845971013863,0.902431213944,0.815972428439
4,0.915928472844,0.840021089967,0.903896583638,0.81861515454
5,0.912799423615,0.834341184364,0.904330127742,0.819328167992
6,0.910670333449,0.830407023297,0.908130516621,0.826238333642
7,0.908996860572,0.827363805442,0.902712827233,0.816383066118
8,0.907723669224,0.825036539296,0.905078095971,0.82065427049
9,0.906354672244,0.822567370861,0.915607723385,0.839705075075
10,0.905063275487,0.820189214686,0.911879075012,0.832946544568
11,0.904288402046,0.818804227643,0.917152733932,0.842451935928
12,0.903111883766,0.816691131707,0.915711225914,0.839902218401
0,0.997491466773,0.998581808473,0.934075394635,0.873905728878
1,0.941285334636,0.887182989004,0.923068354204,0.853497872619
2,0.929766137981,0.865646540197,0.914327041866,0.837394301819
3,0.923839915801,0.85462234738,0.91111611745,0.83158342195
4,0.919531109448,0.846702137999,0.914297078766,0.837333875744
5,0.91702874125,0.842055165886,0.90656044294,0.823301070425
6,0.914716657774,0.837832373454,0.908900888711,0.827605261301
7,0.913344664244,0.835411590103,0.909291282112,0.828286684199
8,0.911868341878,0.832645921551,0.90276264845,0.816480978222
9,0.910702179834,0.830545765311,0.908738046881,0.827261338964
10,0.910132953528,0.829498030574,0.907042799592,0.824129449234
11,0.909158741999,0.827737084757,0.906062054454,0.822440237261
12,0.908280570229,0.826112448295,0.901413152855,0.814034245282
13,0.90763601314,0.824910726067,0.906057362802,0.822349207211
14,0.907075050862,0.823955723644,0.902998749363,0.816886268453
15,0.906564418361,0.823031642442,0.902062846728,0.815190754264
16,0.906062285284,0.822091228327,0.90526171244,0.820961321641
17,0.905500076339,0.821101169537,0.900871889116,0.813034173164
18,0.905333896795,0.82079710005,0.901810017794,0.814714643376
19,0.904397388448,0.819030206504,0.901998203892,0.815075353068
20,0.904176801556,0.818696927983,0.903659249858,0.818070917358
21,0.904544234199,0.819404920216,0.904439811422,0.819448459419
22,0.903906112468,0.818185120798,0.90152206292,0.81422506782
23,0.90355749309,0.817562685805,0.903608534764,0.817889326744
24,0.903241293395,0.816965119929,0.902953048172,0.81671510483
25,0.902613202705,0.815923042239,0.90007785063,0.811581773769
26,0.902680300655,0.815957580506,0.899228198811,0.810030025414
27,0.902473517613,0.815592537615,0.903537135115,0.817799201607
28,0.902024075301,0.814779215095,0.904465357778,0.819445739827
29,0.901997557317,0.814809797786,0.901622968609,0.814333358716
30,0.90193003043,0.814610593838,0.90030744804,0.811967039793
31,0.901207404326,0.813280795999,0.901529389397,0.814120605007
32,0.90148617338,0.813855841931,0.900305461024,0.812012120623
33,0.901271710254,0.813424345426,0.902751651687,0.816394444101
34,0.900556128338,0.812166718669,0.902356312128,0.815653058884
35,0.900308913483,0.811677670576,0.902876287358,0.816575811762
36,0.900565141731,0.812126793432,0.904402331149,0.819351198117
