epoch,RMSE,loss,val_RMSE,val_loss
0,1.02715431588,1.05769798703,0.962432693145,0.927794072705
1,0.933205612815,0.871890593366,0.911840223487,0.83302108222
2,0.891470028355,0.795765113848,0.887456219651,0.789211722729
3,0.869395908212,0.757235312615,0.875784632391,0.768515434652
4,0.855564424065,0.733746285013,0.86827129931,0.755451138496
5,0.845084177516,0.716188496163,0.861679202147,0.743992003438
6,0.83846658233,0.705332689543,0.859219725993,0.739898237391
7,0.833093166133,0.696521953935,0.856725294698,0.735478613937
8,0.828508747791,0.689130580502,0.855344624576,0.733051696583
9,0.825311784968,0.683915158967,0.853755771173,0.730330535658
10,0.822408778276,0.679472390083,0.853020409694,0.728944182204
11,0.820409143229,0.676320543062,0.852790965247,0.728626668082
12,0.818564965798,0.673368388198,0.851377019685,0.726205733753
13,0.816126056093,0.6694062113,0.850415120291,0.724524200069
14,0.815032442797,0.667870682717,0.849572596828,0.723099518384
15,0.813272972862,0.665094984233,0.849144738367,0.722382826969
16,0.812936243298,0.6645553595,0.849505532151,0.722965899011
17,0.811797259171,0.662677022837,0.848821578469,0.721863056007
18,0.810476326703,0.660864963385,0.846600423655,0.718112282838
19,0.809704614168,0.659706870095,0.846061636076,0.717273225273
20,0.809509610044,0.659321152381,0.846377928564,0.717701269092
21,0.808531196383,0.657772455233,0.847885148878,0.720225263144
22,0.808477219111,0.657809098484,0.846724311297,0.718319099596
23,0.807527217847,0.656364096713,0.84716886384,0.719091977771
24,0.80694458734,0.655335262917,0.845355666072,0.716019708046
25,0.805930216037,0.653997831395,0.844494234212,0.71456251731
26,0.806088356197,0.65422813105,0.845346123639,0.715993714142
27,0.805553249292,0.653349354924,0.845875391511,0.716970657048
28,0.804921792712,0.652329972294,0.845143024578,0.715721075721
29,0.805339661414,0.653010324589,0.845343455134,0.716025182083
30,0.804761518695,0.652192020181,0.84594230606,0.717043829926
31,0.804586617822,0.652005091606,0.845150560396,0.715666772412
32,0.803782809205,0.650723312733,0.84641003712,0.717930462694
33,0.803868553735,0.650923100879,0.847184703501,0.719152918927
34,0.803652052889,0.650609267339,0.846502305508,0.718030781749
35,0.803560153259,0.650502105464,0.845792133545,0.716823844019
0,1.02697023928,1.0574850135,0.961632937123,0.92625397002
1,0.93396393751,0.873325912849,0.91270293277,0.834554913972
2,0.891988162346,0.796687105869,0.886896995283,0.788122698676
3,0.869021323199,0.756617408258,0.873964883709,0.765316785925
4,0.854764610712,0.73230195068,0.866943106411,0.75302732061
5,0.84533745418,0.716593137866,0.862776332987,0.745820761403
6,0.838014257451,0.704497511204,0.858917455784,0.739158755489
7,0.832196343481,0.69497107785,0.856321723127,0.734695244596
8,0.827982163774,0.688280959114,0.855213428871,0.732818732283
9,0.824628733238,0.682753068061,0.853703895759,0.730256253381
10,0.821020149337,0.677090426769,0.851152701151,0.725922749312
11,0.819451460106,0.674649289196,0.850380250356,0.724609143569
12,0.817206223714,0.671034056536,0.85040736576,0.724632182953
13,0.814511675689,0.666807554538,0.850813379982,0.725262278026
14,0.813593399419,0.665491954225,0.849881930952,0.723649559246
15,0.812229823247,0.663292721611,0.849635956069,0.723244775466
16,0.811193087989,0.661797959361,0.848822352595,0.721862402932
17,0.810209336504,0.660156702204,0.848752600986,0.721721274646
18,0.8094928359,0.659220150226,0.849649644266,0.72332934935
19,0.809058426427,0.658479019073,0.849711335392,0.723492117091
20,0.807412780107,0.656053561355,0.849961938256,0.723870094822
21,0.806942179927,0.655234071156,0.850395091144,0.724474983237
22,0.806784760855,0.654984358348,0.850424633753,0.72448528529
23,0.805991198086,0.653911850211,0.849481902754,0.72303014334
24,0.805462201857,0.653009018126,0.848965831208,0.72215129369
25,0.805143610731,0.652561173894,0.848893051261,0.721984446963
26,0.805094654042,0.652626890876,0.848719125755,0.721640430281
27,0.804542244854,0.651608024781,0.848256711046,0.720911239283
28,0.804392665559,0.651392513241,0.848855726976,0.721964823794
29,0.803088524177,0.64940142701,0.848948911748,0.722189867784
30,0.803972534129,0.650982612003,0.848803231413,0.721864423416
31,0.803269863216,0.649792767587,0.848241812899,0.7209533676
32,0.802725114249,0.64886254271,0.848668567166,0.721747805177
33,0.802781494093,0.649146575913,0.848574707834,0.721467740649
34,0.802419997578,0.648348901454,0.847748785294,0.720005439896
35,0.802333925702,0.648343738026,0.847027080869,0.71895823756
36,0.803039478636,0.649782041436,0.846621717919,0.718264840857
37,0.801741314396,0.647466093829,0.847649763724,0.719932586389
38,0.801656773506,0.647440414294,0.848072754713,0.720628021922
39,0.801613406432,0.647371319881,0.847825937774,0.720260731113
40,0.801103068809,0.646598464776,0.849610170764,0.723312290679
41,0.801341219255,0.646934966488,0.848869571621,0.722088115409
42,0.800804488163,0.646119078745,0.849428181119,0.723049190537
43,0.801174917591,0.646739009641,0.848947047147,0.722216867357
44,0.801221702069,0.646765701351,0.848627825163,0.72164634817
45,0.801207992942,0.646819111655,0.847413431361,0.719666084186
46,0.800404523225,0.645381215849,0.849159433446,0.722663017753
